date,price
2018-10-04T01:30:00Z,11.34
2018-10-04T02:00:00Z,12.6
2018-10-04T02:30:00Z,11.76
2018-10-04T03:00:00Z,12.39
2018-10-04T03:30:00Z,12.6
2018-10-04T04:00:00Z,15.96
2018-10-04T04:30:00Z,15.96
2018-10-04T05:00:00Z,15.939
2018-10-04T05:30:00Z,15.75
2018-10-04T06:00:00Z,14.07
2018-10-04T06:30:00Z,18.48
2018-10-04T07:00:00Z,17.136
2018-10-04T07:30:00Z,14.7
2018-10-04T08:00:00Z,17.22
2018-10-04T08:30:00Z,14.7
2018-10-04T09:00:00Z,14.7
2018-10-04T09:30:00Z,12.39
2018-10-04T10:00:00Z,14.637
2018-10-04T10:30:00Z,13.083
2018-10-04T11:00:00Z,14.28
2018-10-04T11:30:00Z,12.558
2018-10-04T12:00:00Z,12.6
2018-10-04T12:30:00Z,11.802
2018-10-04T13:00:00Z,11.76
2018-10-04T13:30:00Z,11.34
2018-10-04T14:00:00Z,12.18
2018-10-04T14:30:00Z,13.23
2018-10-04T15:00:00Z,25.62
2018-10-04T15:30:00Z,28.14
2018-10-04T16:00:00Z,26.376
2018-10-04T16:30:00Z,30.03
2018-10-04T17:00:00Z,28.98
2018-10-04T17:30:00Z,32.34
2018-10-04T18:00:00Z,19.95
2018-10-04T18:30:00Z,18.9
2018-10-04T19:00:00Z,17.64
2018-10-04T19:30:00Z,13.104
2018-10-04T20:00:00Z,16.38
2018-10-04T20:30:00Z,14.196
2018-10-04T21:00:00Z,14.07
2018-10-04T21:30:00Z,12.6
2018-10-04T22:00:00Z,13.44
2018-10-04T22:30:00Z,13.104
2018-10-04T23:00:00Z,13.02
2018-10-04T23:30:00Z,12.495
2018-10-05T00:00:00Z,12.18
2018-10-05T00:30:00Z,12.936
2018-10-05T01:00:00Z,12.936
2018-10-05T01:30:00Z,11.928
2018-10-05T02:00:00Z,12.6
2018-10-05T02:30:00Z,12.432
2018-10-05T03:00:00Z,12.264
2018-10-05T03:30:00Z,11.802
2018-10-05T04:00:00Z,12.558
2018-10-05T04:30:00Z,12.747
2018-10-05T05:00:00Z,14.7
2018-10-05T05:30:00Z,14.784
2018-10-05T06:00:00Z,13.146
2018-10-05T06:30:00Z,17.346
2018-10-05T07:00:00Z,16.758
2018-10-05T07:30:00Z,15.834
2018-10-05T08:00:00Z,16.632
2018-10-05T08:30:00Z,14.301
2018-10-05T09:00:00Z,14.91
2018-10-05T09:30:00Z,13.293
2018-10-05T10:00:00Z,14.7
2018-10-05T10:30:00Z,13.86
2018-10-05T11:00:00Z,13.755
2018-10-05T11:30:00Z,12.138
2018-10-05T12:00:00Z,13.44
2018-10-05T12:30:00Z,12.558
2018-10-05T13:00:00Z,12.18
2018-10-05T13:30:00Z,12.138
2018-10-05T14:00:00Z,12.138
2018-10-05T14:30:00Z,13.02
2018-10-05T15:00:00Z,26.25
2018-10-05T15:30:00Z,28.98
2018-10-05T16:00:00Z,27.216
2018-10-05T16:30:00Z,30.072
2018-10-05T17:00:00Z,30.45
2018-10-05T17:30:00Z,32.277
2018-10-05T18:00:00Z,19.95
2018-10-05T18:30:00Z,18.27
2018-10-05T19:00:00Z,17.136
2018-10-05T19:30:00Z,13.02
2018-10-05T20:00:00Z,13.23
2018-10-05T20:30:00Z,13.02
2018-10-05T21:00:00Z,13.44
2018-10-05T21:30:00Z,12.327
