DayNum,Timestamp(ms),Timestamp (s),Timestamp (numbers),HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V]
4.698312648,70200,70.2,0.0008125,28,48.4146347,376
4.698312648,71200,71.2,0.000824074,28,48.4146347,376
4.698312648,71900,71.9,0.000832176,28,48.4146347,376
4.698312648,72300,72.3,0.000836806,28,48.4146347,376
4.698312648,72900,72.9,0.00084375,28,48.4146347,376
4.698312648,73300,73.3,0.00084838,28,48.4146347,372
4.698312648,73400,73.4,0.000849537,-16.5,48.4146347,372
4.698312648,74400,74.4,0.000861111,-16.5,48.4146347,372
4.698312648,75400,75.4,0.000872685,-16.5,48.4146347,372
4.698312648,76400,76.4,0.000884259,-16.5,48.4146347,372
4.698312648,77500,77.5,0.000896991,-16.5,48.4146347,372
4.698312648,77900,77.9,0.00090162,-16.5,48.4146347,372
4.698312648,78400,78.4,0.000907407,-35,48.4146347,371
4.698312648,78500,78.5,0.000908565,-35,48.4146347,371
4.698312648,79600,79.6,0.000921296,-35,48.4146347,371
4.698312648,80600,80.6,0.00093287,-35,48.4146347,371
4.698312648,81600,81.6,0.000944444,-35,48.4146347,371
4.698312648,82700,82.7,0.000957176,-35,48.4146347,371
4.698312648,82900,82.9,0.000959491,-35,48.4146347,371
4.698312648,83400,83.4,0.000965278,-35,48.4146347,365
4.698312648,83500,83.5,0.000966435,-67,48.4146347,365
4.698312648,83800,83.8,0.000969907,-67,48.4146347,365
4.698312648,84800,84.8,0.000981481,-67,48.4146347,365
4.698312648,85900,85.9,0.000994213,-67,48.4146347,365
4.698312648,87000,87,0.001006944,-67,48.4146347,365
4.698312648,87900,87.9,0.001017361,-67,48.4146347,365
4.698312648,88000,88,0.001018519,-67,48.4146347,365
4.698312648,88400,88.4,0.001023148,-67,48.4146347,366.5
4.698312648,88600,88.6,0.001025463,21.5,48.4146347,366.5
4.698312648,89000,89,0.001030093,21.5,48.4146347,366.5
4.698312648,90100,90.1,0.001042824,21.5,48.4146347,366.5
4.698312648,91100,91.1,0.001054398,21.5,48.4146347,366.5
